Name,Rating,Number of Ratings,Place ID,Latitude,Longitude
Broadway-City Hall Station,4.1,90,ChIJQx4neN1zhlQRdHFbwLLpxeM,49.2629975,-123.1145406
Vancouver City Centre,4.3,146,ChIJ04sXE39xhlQR1Woi1gmeQXY,49.2824692,-123.1186127
King Edward Station @ Platform 1,4.0,36,ChIJifoZXPJzhlQRtHmyjDhlNAc,49.2491867,-123.115857
Marine Drive Station,4.2,91,ChIJ9_pZvfZ0hlQRtF0YmDWM4lI,49.20967,-123.11702
Granville,4.0,89,ChIJFxdoy3hxhlQRXYS-3DIa4Sk,49.2832919,-123.1161335
Olympic Village Station,4.1,54,ChIJlfAnGNxzhlQR-C1WKlNCF0g,49.26654,-123.11562
Burrard,4.2,181,ChIJWWb7iIFxhlQRBL4QZPdZs4I,49.2855528,-123.1202039
Sea Island Centre,3.5,13,ChIJfdGuxM10hlQRc5O28XA1Muk,49.1930461,-123.15789
Stadium-Chinatown,3.6,158,ChIJOd5wkHtxhlQRZ-hsRW79874,49.2796417,-123.109815
Templeton,4.1,38,ChIJJ7z-3MR0hlQRdu2zx6WWbTc,49.1964815,-123.1464017
Waterfront,4.2,9,ChIJM9MPgXhxhlQRjb_Uo61XCzw,49.2851661,-123.1142662
Commercial-Broadway Station,4.1,213,ChIJ8StlKUlxhlQRgRkkBulg4wE,49.262623,-123.0692365
Rupert Station,4.0,42,ChIJxZLLJdJ2hlQRzxwlgSLhUC8,49.2607119,-123.0333715
Langara-49th Avenue Station,4.2,37,ChIJLSVo4WR0hlQRQEdtPMFv4Is,49.2262289,-123.11608
Oakridge-41st Avenue,3.7,44,ChIJO7ZJ03B0hlQRBgDgZxkWzqs,49.2331553,-123.1166449
Nanaimo Station,4.0,69,ChIJjXotZLB2hlQRboiC0FUCIDI,49.24827819999999,-123.0559173
King Edward Station,4.3,6,ChIJpTCiXvJzhlQRZ4RhjNDsCsI,49.2491874,-123.1158587
Waterfront Station,4.4,39,ChIJfao2c3hxhlQRbXjQ5cpu4qI,49.28568,-123.11177
Yvr–Airport,4.3,242,ChIJgfLj0DULhlQRAQ0Vh1RJ-uY,49.1942086,-123.1782726
Bridgeport Station,4.2,174,ChIJLwv_KOF0hlQRAVVuBfsTO_A,49.1955328,-123.1260566
Royal Oak Station,4.2,70,ChIJQ6kjUkR2hlQRwwPRht1HELE,49.2200741,-122.9884735
Main Street-Science World,3.8,86,ChIJN4y6GGRxhlQR6nGXK2J2_lw,49.273172,-123.10035
Yaletown-Roundhouse Station,4.4,107,ChIJ9YbkH9dzhlQRPKDbvBamvco,49.2745369,-123.1219399
Patterson,4.3,73,ChIJdyQeH_V2hlQRoUk2-teHzGo,49.2297586,-123.0126618
Joyce–Collingwood,4.0,118,ChIJCQNPh5R2hlQRYPlAT17spvw,49.2383732,-123.0317578
29th Avenue Station,3.9,51,ChIJvW9sD7x2hlQRgErVyf-VarU,49.24428,-123.04611
Gateway Station,3.8,79,ChIJc1Wc0ofXhVQRWtqqSb7Koys,49.1989666,-122.85071
Lake City Way,3.5,22,ChIJUXG1MHl3hlQRk3MY922GSBM,49.2546,-122.93918
King George,4.1,169,ChIJtYoaNNHZhVQRlbX75cwScE0,49.1827908,-122.8447973
Renfrew Station,3.8,31,ChIJSdKSnMt2hlQRKU04gT2FHAg,49.2589033,-123.0453779
Gilmore Station,4.0,55,ChIJD1vYOCl3hlQRCLbLB2uo_mQ,49.26495999999999,-123.013646
Columbia,3.6,76,ChIJY1MTnHLYhVQR4uMFvzwjXBk,49.2048248,-122.90612
